лемма,количество стимулов,список стимулов
один,112,"билет, бог, быть, вариант, вернуться, верный, висеть, власть, война, волос, выбрать, выход, глава, голова, господин, гость, группа, губа, гулять, действие, действовать, держаться, доллар, дополнительный, дорога, друг, единственный, единый, естественный, жизнь, жить, закон, здоровье, значение, индивидуальный, команда, комната, конкретный, курс, линия, любовь, малый, массовый, мать, миллион, мир, момент, мысль, народ, население, находиться, начало, номер, ночь, объект, одинаковый, оказаться, определенный, оставаться, оставить, оставлять, остаться, отдельный, пара, партия, плакать, повторить, позиция, показаться, последний, постоянный, похожий, правило, президент, принцип, природа, процент, пункт, пустой, работа, раз, родитель, рубль, свободный, связанный, связь, семья, сила, слово, случай, смерть, совместный, спать, способ, сторона, судьба, сцена, счастье, тип, точка, угол, умереть, условие, фамилия, целый, цель, час, часть, человек, число, шаг, школа"
пример,111,"брать, вариант, ведущий, взять, возможный, высший, готовый, давать, длинный, добавить, достойный, дочь, дядя, жесткий, живой, задача, значение, значительный, известный, индивидуальный, интересный, использование, казаться, классический, коммерческий, конкретный, культурный, легкий, литературный, личный, мать, меньший, многочисленный, модель, назвать, научный, невозможный, номер, нормальный, объяснить, объяснять, одинаковый, определенный, особый, отвечать, отдельный, отец, отличный, относиться, падать, папа, перестать, плохой, повторить, подать, показать, показывать, положительный, получиться, понимать, последующий, похожий, правильный, практический, представить, привезти, привести, приводить, привычный, пример, принести, провести, простой, равный, реальный, решать, решить, родитель, следовать, следующий, сложиться, сложный, создавать, создать, составить, составлять, социальный, ставить, становиться, стать, существенный, считать, считаться, тип, точный, увидеть, указать, уровень, форма, химический, хороший, художественный, целый, частый, человеческий, число, экономический, эффективный, являться, яркий, ясный"
решение,111,"анализ, большинство, вариант, виноватый, возможность, возможный, временной, вспомнить, выбрать, выйти, выполнять, выход, действие, действовать, деньги, добавить, договор, есть, ждать, зависеть, задача, значение, значить, идея, изменить, искать, конечный, легкий, метод, многочисленный, назначить, найти, направить, находить, начальник, необходимый, объявить, объяснить, объяснять, ожидать, опасный, определить, оружие, остаться, ответ, ответить, отвечать, отказаться, отметить, партия, план, плохой, повод, поговорить, поднять, подумать, пойти, политика, получиться, понять, попробовать, поступить, правило, правильный, правительство, правовой, предлагать, предусмотреть, привести, придумать, пример, принимать, принять, причина, проблема, произойти, пройти, простой, процент, процесс, различный, рассматривать, результат, решать, руководитель, свобода, ситуация, сложный, служить, совершить, согласиться, сообщить, составить, способ, суд, судебный, судить, судьба, твердый, требовать, тяжелый, увидеть, удасться, удивиться, указать, условие, утверждать, ход, цель, центр, эффективный"
дорога,111,"автомобиль, бежать, берег, вернуться, вести, внимание, возвращаться, вспоминать, встреча, встречать, выбрать, главный, горный, город, господин, грязный, гулять, дальний, движение, двор, деревня, длинный, дойти, долгий, дорога, дорогой, ездить, ехать, железный, жизнь, забыть, земля, идти, искать, километр, конец, кончиться, короткий, край, круг, курс, линия, любовь, машина, мокрый, московский, музыка, найти, направить, направление, находить, начало, начинаться, объяснить, объяснять, остановиться, отметить, отправиться, падать, перейти, подумать, поехать, пойти, показать, показывать, половина, правило, привезти, придумать, приезжать, приехать, провести, проводить, пройти, проходить, процесс, прямой, пункт, путь, развитие, расположить, ряд, сельский, семья, следовать, случай, собираться, собраться, спрашивать, спросить, степень, сторона, строить, судьба, сухой, транспортный, уезжать, уехать, узкий, узнавать, уйти, указать, улица, упасть, уходить, участник, участок, ходить, шаг, широкий, школа"
мальчик,111,"активный, бедный, бог, боевой, брат, бросить, верить, веселый, вести, виноватый, встретить, вызвать, выполнять, высокий, генерал, глупый, голубой, голый, государственный, группа, грязный, движение, девочка, девушка, действие, деловой, добрый, довольный, дом, дорогой, еврейский, женщина, замечательный, здоровый, знание, золотой, идея, известный, иностранный, космический, красивый, красный, крепкий, культурный, личный, маленький, малый, мелкий, меньший, милый, мировой, младший, молодой, мужской, мужчина, небольшой, невозможный, несчастный, низкий, новый, нравиться, обычный, оценка, палец, пара, парень, платить, плохой, показывать, получать, понравиться, похожий, православный, правый, приятный, простой, развитие, ребенок, ребята, родитель, свежий, сделать, сила, сильный, слабый, слово, служба, случай, смешной, смысл, советский, солнечный, состояться, способный, сын, театр, тихий, товарищ, толстый, уверенный, удасться, удивительный, уметь, умный, учиться, хороший, хотеть, цена, чужой, юный, ясный"
радость,110,"активный, бабушка, бог, веселый, вещь, внимание, возвращаться, впечатление, вспоминать, вспомнить, встретить, встретиться, встреча, встречать, встречаться, вызвать, вызывать, гость, давать, деревня, довольный, дочь, друг, желтый, жена, живой, жизнь, жить, замечательный, здоровье, злой, игра, играть, испытывать, крикнуть, кричать, купить, лучший, любовь, магазин, мама, миллион, младший, момент, море, муж, музыка, найти, находить, начало, нести, новый, нужный, обещать, ожидать, папа, парень, песня, повод, показывать, положительный, получаться, получить, получиться, почувствовать, появиться, праздник, представить, представление, привезти, пригласить, приехать, принести, природа, приходить, приятный, рад, радость, ребенок, родиться, свет, семья, случиться, смешной, смеяться, смочь, собака, событие, солнечный, солнце, сон, состояние, счастливый, счастье, сын, территория, удасться, удивительный, удивиться, улыбаться, улыбнуться, уметь, успех, характер, хватать, цвет, человек, чувство, чувствовать, школа"
смысл,110,"бог, больший, быстрый, быть, важный, ведущий, вечный, видеть, возможный, вспомнить, высший, главный, глубокий, голый, действие, дело, деньги, духовный, единственный, единый, есть, желание, жизненный, жизнь, жить, здоровый, земной, значение, значительный, значить, идея, интерес, информация, искать, искусство, истинный, исторический, книга, коммерческий, конкретный, кончать, космический, красивый, культурный, легкий, литература, любовь, меньший, мысль, назвать, найти, наука, находить, небольшой, невозможный, нести, новый, общественный, общий, объяснить, объяснять, огромный, основной, оставить, отдельный, отношение, передать, показывать, политический, полный, положительный, понимать, понять, посвятить, последний, потерять, почувствовать, правый, практический, принять, причина, простой, прямой, равный, развитие, речь, свободный, связанный, связь, семья, слово, содержать, судьба, существенный, существовать, тайный, текст, тема, территория, точный, увидеть, узнавать, факт, физический, художественный, цель, человеческий, широкий, экономический, юридический"
долг,109,"административный, американский, армия, банк, больший, большой, брать, важный, вернуться, взять, власть, внешний, временной, выполнить, выполнять, государственный, государство, гражданский, давать, дать, денежный, договор, дополнительный, достойный, ждать, жена, женский, зависеть, задача, закрытый, закрыть, занимать, занять, записать, значительный, иметь, институт, информация, исполнительный, истинный, исторический, квартира, крупный, малый, массовый, материальный, международный, меньший, мечта, миллион, мужской, налоговый, напоминать, национальный, невозможный, нужный, обеспечить, обещать, общественный, общий, обязанный, обязательный, огромный, основной, оставлять, отдать, отечественный, партийный, передавать, платить, попросить, порядок, последующий, право, правый, принести, принимать, принять, приходиться, проблема, просить, простить, простой, профессиональный, пустой, работа, равный, святой, семейный, семья, слава, служба, служить, солдат, социальный, спасти, страна, студент, счет, считаться, транспортный, требование, требовать, уровень, финансовый, хватать, часть, человеческий, чувство"
уходить,109,"бросить, бывший, быть, вернуться, возвращаться, возможность, возраст, войти, время, встать, встретиться, встречать, входить, выйти, выход, выходить, герой, голос, господин, гость, директор, дойти, дочь, ждать, желание, забыть, зайти, закончить, закрыть, занять, заставить, идти, измениться, искусство, исчезнуть, кивнуть, мертвый, мешать, молчать, мужчина, мысль, надежда, найти, народ, находиться, оказаться, оказываться, оставаться, оставить, оставлять, остаться, отец, отказаться, отправиться, память, папа, перейти, перестать, повод, погибнуть, подойти, позволить, позволять, пойти, попасть, попросить, попытаться, пора, посвятить, появиться, появляться, предлагать, приводить, пригласить, приезжать, прийти, приходить, приходиться, причина, произойти, происходить, пройти, простить, проходить, прошлый, пытаться, радость, ребята, смерть, смочь, собираться, солдат, ставить, старик, стремиться, сыграть, требование, удасться, уезжать, уехать, уйти, умереть, успеть, уходить, участвовать, ходить, человек, явиться, являться"
думать,108,"анализ, быть, верить, висеть, возможность, возникать, вспоминать, вспомнить, встречаться, выбрать, выполнять, глубокий, говорить, голова, гулять, действие, действовать, делать, думать, ждать, желать, живой, забыть, заставить, знать, значение, значить, идея, искать, искусство, испытывать, казаться, кончать, курс, лежать, любить, мешать, мнение, молчать, мочь, мысль, наблюдать, надеяться, написать, начать, объяснять, ожидать, остановиться, отвечать, относиться, перестать, писать, плакать, поговорить, подумать, позволить, показаться, полезный, получаться, помнить, понимать, понять, предлагать, представить, предусмотреть, придумать, принцип, приходиться, продолжать, произнести, процесс, психологический, пытаться, рассказывать, рассматривать, решать, сделать, сидеть, слово, сложный, слушать, слышать, смысл, событие, создать, составлять, способный, спрашивать, стараться, стоить, стоять, судить, существовать, считать, считаться, трудный, узнавать, ум, уметь, умный, утверждать, учиться, ходить, хотеть, человек, читать, чувствовать, экзамен"
совет,107,"божий, большой, быть, важный, великий, верхний, верховный, взять, военный, восточный, вспомнить, высший, глава, голова, городской, государственный, давать, дать, действие, добрый, достойный, друг, духовный, еврейский, единый, ждать, женский, жизненный, журнал, закрытый, замечательный, истинный, исторический, коммерческий, конкретный, культурный, литературный, лишний, маленький, малый, материальный, международный, мнение, мужской, народный, научный, национальный, необходимый, нужный, областной, обратиться, обращаться, общественный, общий, обязательный, отечественный, отличный, партийный, партия, плохой, повторять, полезный, политический, получить, помогать, помочь, попросить, послушать, правильный, практический, председатель, просить, простить, простой, рассказать, региональный, религиозный, решить, руководитель, руководство, сельский, семейный, следовать, собрать, совет, советский, союз, спрашивать, спросить, тайный, технический, точный, указать, умный, управление, учебный, факт, федеральный, федерация, финансовый, хороший, ценный, член, школьный, эффективный, юный, юридический"
интересный,107,"автор, активный, важный, вариант, век, веселый, вещь, возможный, возраст, вопрос, восточный, впечатление, газета, глубокий, деятельность, древний, друг, европейский, женщина, жизнь, журнал, задача, занятие, игра, идея, интерес, информационный, информация, история, картина, кино, книга, книжка, красивый, литература, люди, метод, мир, мнение, момент, мужчина, музыка, музыкальный, мысль, научный, находить, неизвестный, неожиданный, новый, нравиться, обнаружить, образ, опыт, особый, писатель, план, положение, понравиться, поэт, праздник, предмет, представление, придумать, пример, приятный, программа, проект, процесс, работа, разговор, различный, разный, результат, речь, рисунок, роман, ситуация, слово, сложный, случай, случайный, смешной, событие, спектакль, способ, статья, стихи, судьба, сцена, творческий, театр, театральный, текст, тема, традиционный, трудный, удивительный, узнавать, узнать, факт, фильм, французский, хороший, художественный, художник, человек, школьный"
интерес,107,"больший, вещь, внимание, возможность, возможный, вопрос, впечатление, встречать, вызывать, высокий, государственный, группа, дело, дикий, друг, духовный, европейский, желание, желать, живой, жизнь, журнал, занятие, зарубежный, защита, здоровый, значительный, игра, играть, интерес, интересный, информация, исследование, истинный, кино, книга, книжка, коммерческий, космический, культура, личный, лучший, материальный, многочисленный, наблюдать, научный, находить, национальный, начать, начинаться, нравиться, общественный, общество, общий, огромный, отвечать, отношение, пара, партийный, писатель, повод, поговорить, подойти, политический, понравиться, потерять, появиться, предлагать, представление, придумать, проект, производственный, профессиональный, психологический, рабочий, различный, рассказывать, рассматривать, реальный, региональный, религиозный, роман, садиться, свободный, семейный, сильный, ситуация, слушать, собственный, создать, спектакль, спортивный, спрашивать, спросить, существенный, тема, узнавать, узнать, участие, факт, физический, фильм, художественный, человеческий, читать, чувство, экономический"
идти,107,"армия, бежать, бояться, ведущий, вернуться, вести, взять, возвращаться, война, время, встать, входить, выступать, выходить, готовый, гулять, двигаться, движение, действовать, делать, дело, день, держаться, дойти, достигнуть, ездить, ехать, жизнь, жить, заставить, идти, измениться, информация, километр, кровь, лететь, люди, молчать, мочь, мысль, направить, направление, начать, начинаться, нога, обязанный, оставаться, остановиться, отправиться, очередь, пара, перейти, подняться, подойти, поехать, пойти, помогать, попытаться, пора, последующий, представление, приводить, прийти, принести, приходить, приходиться, проводить, продолжать, проект, произойти, пройти, проходить, процесс, путь, пытаться, работать, развитие, разговор, речь, родитель, руководство, следовать, служба, смерть, смочь, собираться, собраться, событие, согласиться, согласный, становиться, стараться, стать, сторона, стоять, стремиться, суд, течение, уйти, улица, уметь, уходить, фильм, ход, ходить, цель, шаг"
учеба,106,"английский, билет, брат, бросить, вариант, век, вечер, внимание, возможность, возникать, врач, гореть, девочка, директор, думать, забыть, закончить, заниматься, занятие, здоровье, знание, знать, измениться, институт, интерес, интересный, кабинет, китайский, класс, книга, коммерческий, конец, кончать, курс, мальчик, мастер, материал, медицинский, метод, направление, наука, начать, начаться, начинаться, неделя, объяснить, объяснять, опыт, оценка, память, папа, пара, парень, передавать, период, повторять, политика, получиться, помнить, помощь, понимать, поступить, появиться, правило, предмет, придумать, прийти, проблема, программа, проект, профессиональный, процесс, пытаться, работа, развитие, решать, слово, служба, слушать, специалист, стараться, степень, стихи, стол, стремиться, студент, суббота, тема, труд, удасться, узнавать, узнать, ум, умный, успеть, успех, учебный, учительница, учить, учиться, читать, школа, школьный, экзамен, экономика, явиться"
документ,105,"анализ, бумага, важный, готовый, гражданин, гражданский, данные, дело, директор, договор, договориться, документ, дорогой, достать, еврейский, журнал, забыть, заявить, изменить, иметь, имя, информация, искать, исполнительный, использование, исследование, исторический, коммерческий, конкретный, личный, материал, медицинский, мировой, название, найти, налоговый, направить, направление, научный, необходимый, номер, носить, нужный, обязательный, одинаковый, основной, оставить, открывать, открытый, официальный, передавать, передать, письмо, подать, показать, положение, положить, потерять, правило, правильный, правовой, представить, представление, предусмотреть, признать, принести, принять, прислать, причина, проект, профессиональный, пункт, рассматривать, родиться, руководитель, руководство, связанный, связать, сдавать, собрать, согласиться, согласный, создавать, создание, создать, составить, составлять, сохранить, статья, структура, суд, существенный, текст, тема, требование, требовать, трудовой, утверждать, фамилия, федеральный, финансовый, форма, ценный, электронный, юридический"
образ,104,"активный, бывший, взгляд, вид, видеть, внешний, впечатление, временной, вспоминать, выглядеть, высший, городской, деловой, дешевый, деятельность, дикий, дополнительный, духовный, еврейский, единый, естественный, женский, закрытый, западный, здоровый, злой, золотой, идея, изменение, изменить, измениться, казаться, классический, конкретный, красивый, крупный, культурный, летний, литература, литературный, лицо, многочисленный, модель, московский, мужской, народный, новый, нормальный, образ, объем, основа, основной, особый, остаться, показаться, показывать, политический, полный, постоянный, похожий, правовой, представить, представление, прекрасный, привычный, пример, профессиональный, прошлый, психологический, различный, разный, роль, свежий, свет, светлый, святой, сельский, семейный, случайный, снимать, собрать, собраться, совместный, современный, создавать, создание, создать, сон, составлять, спортивный, страшный, театральный, тип, традиционный, удивительный, удобный, форма, характер, художественный, цель, человеческий, школьный, являться, яркий"
текст,104,"автор, анализ, английский, бумага, видеть, газета, глава, говорить, готовый, данные, длинный, добавить, документ, древний, журнал, забыть, записать, заявить, знакомый, изменить, информационный, информация, использовать, классический, книга, книжка, конкретный, короткий, край, крупный, литературный, мастер, мелкий, многочисленный, музыка, название, написать, научный, начать, нужный, объем, объяснять, обычный, основной, оставлять, ответить, официальный, песня, петь, писатель, писать, письмо, план, повторить, повторять, политический, помнить, понимать, похожий, почувствовать, правильный, предыдущий, придумать, пример, проект, произнести, простой, прямой, психологический, различный, разработать, рассказывать, рассматривать, реальный, речь, роман, связанный, слабый, слово, сложный, слышать, смысл, создавать, составить, составлять, сохранить, спрашивать, статья, стихи, структура, сухой, текст, тема, тип, точка, точный, уверенный, учить, факт, художественный, ценный, часть, человеческий, читать"
подарок,104,"больший, большой, брат, вещь, внимание, возможный, встречать, выбрать, главный, гость, готовить, давать, дать, делать, денежный, дорогой, достать, дядя, ждать, желание, желать, жизнь, забыть, замечательный, значительный, золотой, индивидуальный, интерес, космический, купить, лучший, любимый, любовь, маленький, материальный, милый, мужской, музыкальный, настоящий, находить, национальный, небольшой, неожиданный, нести, обещать, обнаружить, одинаковый, ожидать, основной, особый, оставить, оставлять, отдать, отказаться, открывать, открыть, отличный, память, парень, передавать, передать, повод, подать, покупать, полезный, получать, получаться, получить, получиться, попросить, посвятить, праздник, предлагать, прекрасный, привезти, привести, принести, принимать, принять, прислать, приятный, просить, простой, рад, радость, реальный, связанный, сделать, сложиться, случиться, собрать, создать, сохранить, социальный, существенный, сын, тайный, тип, требовать, удивиться, хотеть, цель, цена, ценный"
делать,103,"активный, бояться, брать, верить, вести, возможный, возникать, выполнить, выполнять, выступать, готовить, двигаться, действие, действовать, делать, дело, деятельность, думать, желание, желать, занимать, заниматься, заставить, звонить, значить, играть, иметь, исполнительный, использование, использовать, кончать, мастер, мешать, мочь, начать, начинаться, нравиться, обещать, обязанный, оказаться, определить, остановиться, отвечать, отказаться, относиться, перестать, повод, повторять, позволить, позволять, покупать, получаться, помогать, понимать, попытаться, практический, предлагать, представить, приводить, принцип, приходиться, проводить, продолжать, производство, происходить, процесс, пытаться, работать, ребята, решать, решить, рука, сделать, следовать, служить, смочь, смысл, совершить, содержать, создавать, создание, составлять, спасти, способ, способный, ставить, становиться, стараться, стоить, стремиться, строить, суметь, технический, требовать, уметь, успех, утверждать, участвовать, участие, учиться, хватать, хотеть, чувствовать"
магазин,103,"ближайший, большой, верный, вещь, восточный, входить, выбрать, выйти, газета, городской, двор, детский, дешевый, директор, дойти, дорогой, достать, еврейский, европейский, женский, женщина, журнал, зайти, закрытый, закрыть, зарубежный, идти, иностранный, китайский, книга, коммерческий, компания, красный, крупный, купить, лучший, массовый, местный, милый, московский, музыкальный, название, назвать, народный, начальник, небольшой, новый, ночной, областной, общественный, огромный, оказываться, организация, отечественный, открывать, открытый, открыть, официальный, очередь, платить, подойти, поехать, пойти, покупать, попасть, порядок, предприятие, прийти, природный, приходиться, производство, промышленный, рабочий, региональный, руководитель, рынок, ряд, сельский, собственный, соседний, союз, спортивный, старый, стоить, торговый, удобный, уйти, улица, управление, фамилия, фирма, хлеб, хозяин, хороший, художественный, цена, центральный, частный, частый, честный, экономический, электронный, японский"
мечта,103,"американский, борьба, будущий, верить, внимание, возможность, впечатление, вспоминать, вспомнить, встретить, выполнить, год, голос, гореть, город, девушка, деньги, достигнуть, дочь, желание, желать, жизнь, жить, забыть, замечательный, замечать, записать, звезда, идея, иметь, квартира, километр, команда, комната, компания, космический, красивый, лежать, любить, материальный, машина, место, мечта, миллион, модель, мужчина, музыка, мысль, надежда, надеяться, найти, наука, невозможный, обещать, обладать, образ, ожидать, оружие, папа, парень, петь, писатель, поверить, подумать, позволять, покупать, получиться, попытаться, посвятить, поэт, праздник, представить, представление, привезти, придумать, проект, произойти, путь, работа, свобода, следовать, случиться, событие, совершить, создание, сознание, сон, стараться, стремиться, строить, счастливый, счастье, сын, тело, убить, удасться, улыбнуться, успех, хватать, хотеть, художник, цель, цена"
товар,103,"автор, американский, больший, вещь, взять, выбрать, дальний, дешевый, добавить, дорогой, достать, европейский, единственный, есть, завод, зарубежный, знать, иностранный, искать, использование, использовать, испытывать, качество, китайский, классический, количество, коммерческий, конкретный, кончиться, крупный, купить, левый, легкий, лишний, лучший, магазин, маленький, мелкий, мягкий, название, найти, небольшой, необходимый, новый, нормальный, нужный, обладать, одинаковый, ожидать, определенный, отечественный, отличный, официальный, партийный, партия, передавать, передать, подать, позиция, показывать, покупать, положить, последний, поставить, похожий, практический, предлагать, предмет, представить, привезти, приводить, привычный, принести, принимать, принять, провести, производственный, производство, промышленный, различный, рынок, свежий, сдавать, сегодняшний, собрать, содержать, создавать, создать, состав, сохранить, социальный, спортивный, стоить, структура, тип, торговый, хватать, хозяин, хороший, художественный, цена, ценный, школьный"
сон,103,"активный, бояться, быстрый, вечер, вечный, видеть, виноватый, возникнуть, время, вспоминать, вспомнить, герой, глубокий, глупый, грязный, данные, день, деревня, детский, долгий, дом, жизнь, забыть, закрытый, замечательный, здоровый, зеленый, интерес, качество, классический, короткий, космический, крепкий, кровь, лежать, летний, любимый, любить, меньший, мера, мертвый, метод, мечта, модель, мягкий, наблюдать, невозможный, необходимый, нормальный, ночной, ночь, образ, обязательный, одинаковый, память, плохой, поздний, полный, помнить, пора, постоянный, похожий, появляться, прекрасный, приятный, простой, прошлый, пьяный, ранний, светлый, слабый, случайный, смерть, смешной, совместный, сознание, сон, состояние, спать, спокойный, старый, страшный, суббота, сухой, сцена, тайный, темный, теплый, тип, тихий, увидеть, удивительный, удивиться, умереть, утро, хороший, час, частый, чужой, экзамен, явиться, являться, ясный"
знак,103,"божий, больший, важный, видеть, внимание, воздушный, вопрос, вызывать, вырасти, высший, государственный, давать, денежный, добавить, дополнительный, дорогой, древний, европейский, замечать, земной, значение, значить, золотой, идея, информационный, информация, истинный, исторический, качество, конкретный, красный, культурный, лишний, массовый, меньший, место, мировой, мягкий, называть, направить, направление, находить, национальный, необходимый, нормальный, общий, опасный, определенный, остановиться, отечественный, отличный, отметить, официальный, оценка, падать, партийный, плохой, подать, показать, показывать, полезный, политический, положительный, понять, последующий, похожий, правило, правильный, правовой, практический, предыдущий, признать, простой, процент, пункт, равный, различный, разный, расположить, религиозный, российский, светлый, святой, слово, согласный, ставить, судьба, существенный, тайный, твердый, текст, торговый, точка, точный, транспортный, увидеть, указать, улица, утверждать, учебный, факт, хороший, честный"
